Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
100.00      0.01     0.01    18937     0.53     0.53  std::remove_reference<std::pair<int, int>&>::type&& std::move<std::pair<int, int>&>(std::pair<int, int>&)
  0.00      0.01     0.00   393916     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.01     0.00   324604     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
  0.00      0.01     0.00   185546     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.01     0.00   184392     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator*() const
  0.00      0.01     0.00   174049     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.01     0.00   158117     0.00     0.00  __gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > >::operator*() const
  0.00      0.01     0.00   150800     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&)
  0.00      0.01     0.00   144568     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > >::operator*() const
  0.00      0.01     0.00   143930     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator++()
  0.00      0.01     0.00    94850     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00      0.01     0.00    94598     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.01     0.00    93891     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.01     0.00    93349     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.01     0.00    91163     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.01     0.00    90843     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.01     0.00    70269     0.00     0.00  std::remove_reference<VVertexInfo&>::type&& std::move<VVertexInfo&>(VVertexInfo&)
  0.00      0.01     0.00    69240     0.00     0.00  __gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > >::base() const
  0.00      0.01     0.00    54694     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.01     0.00    53191     0.00     0.00  preprocess_graph(BipartiteGraph&)::{lambda(VVertexInfo const&, VVertexInfo const&)#1}::operator()(VVertexInfo const&, VVertexInfo const&) const
  0.00      0.01     0.00    51858     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > >::base() const
  0.00      0.01     0.00    51243     0.00     0.00  main::{lambda(EdgeButterfly const&, EdgeButterfly const&)#1}::operator()(EdgeButterfly const&, EdgeButterfly const&) const
  0.00      0.01     0.00    49562     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      0.01     0.00    45650     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<preprocess_graph(BipartiteGraph&)::{lambda(VVertexInfo const&, VVertexInfo const&)#1}>::operator()<__gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > >, __gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > > >(__gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > >, __gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > >)
  0.00      0.01     0.00    44797     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.01     0.00    43672     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.01     0.00    42967     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.01     0.00    37906     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.01     0.00    36987     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > >::operator++()
  0.00      0.01     0.00    35433     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<main::{lambda(EdgeButterfly const&, EdgeButterfly const&)#1}>::operator()<__gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > >, __gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > > >(__gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > >, __gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > >)
  0.00      0.01     0.00    35422     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::__normal_iterator(std::pair<int, int>* const&)
