Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   327692     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
  0.00      0.00     0.00   323426     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00   190992     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > >::operator*() const
  0.00      0.00     0.00   184411     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator*() const
  0.00      0.00     0.00   157598     0.00     0.00  __gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > >::operator*() const
  0.00      0.00     0.00   157131     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.00     0.00   152444     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&)
  0.00      0.00     0.00   145324     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator++()
  0.00      0.00     0.00   141732     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.00     0.00   118066     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.00     0.00   106941     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.00     0.00    80242     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00      0.00     0.00    77966     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.00     0.00    76886     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.00     0.00    75806     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.00     0.00    70515     0.00     0.00  std::remove_reference<VVertexInfo&>::type&& std::move<VVertexInfo&>(VVertexInfo&)
  0.00      0.00     0.00    69412     0.00     0.00  __gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > >::base() const
  0.00      0.00     0.00    68658     0.00     0.00  main::{lambda(EdgeButterfly const&, EdgeButterfly const&)#1}::operator()(EdgeButterfly const&, EdgeButterfly const&) const
  0.00      0.00     0.00    59476     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > >::base() const
  0.00      0.00     0.00    53191     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.00     0.00    52859     0.00     0.00  preprocess_graph(BipartiteGraph&)::{lambda(VVertexInfo const&, VVertexInfo const&)#1}::operator()(VVertexInfo const&, VVertexInfo const&) const
  0.00      0.00     0.00    51933     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > >::operator++()
  0.00      0.00     0.00    49343     0.00     0.00  std::remove_reference<EdgeButterfly&>::type&& std::move<EdgeButterfly&>(EdgeButterfly&)
  0.00      0.00     0.00    49268     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<main::{lambda(EdgeButterfly const&, EdgeButterfly const&)#1}>::operator()<__gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > >, __gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > > >(__gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > >, __gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > >)
